txid	geneid	name	chr
rna48868	gene26938	TCHH	NW_020656210.1
rna48869	gene26939	TCHHL1	NW_020656210.1
rna4734	gene2694	STON1	NW_020656123.1
rna48870	gene26940	S100A11	NW_020656210.1
rna48871	gene26941	S100A10	NW_020656210.1
rna48873	gene26944	THEM4	NW_020656210.1
rna48874	gene26945	THEM5	NW_020656210.1
rna48876	gene26946	C2CD4D	NW_020656210.1
rna48877	gene26947	RORC	NW_020656210.1
rna48880	gene26948	LINGO4	NW_020656210.1
rna48881	gene26949	TDRKH	NW_020656210.1
rna4736	gene2695	PPP1R21	NW_020656123.1
rna48882	gene26950	OAZ3	NW_020656210.1
rna48883	gene26951	MRPL9	NW_020656210.1
rna48886	gene26953	RIIAD1	NW_020656210.1
rna48887	gene26954	CELF3	NW_020656210.1
rna48889	gene26955	SNX27	NW_020656210.1
rna48897	gene26957	TUFT1	NW_020656210.1
rna48905	gene26959	CGN	NW_020656210.1
rna48906	gene26960	POGZ	NW_020656210.1
rna48910	gene26961	PSMB4	NW_020656210.1
rna48912	gene26963	SELENBP1	NW_020656210.1
rna48914	gene26964	RFX5	NW_020656210.1
rna48915	gene26965	PI4KB	NW_020656210.1
rna48922	gene26966	ZNF687	NW_020656210.1
rna48926	gene26967	PSMD4	NW_020656210.1
rna48929	gene26968	PIP5K1A	NW_020656210.1
rna48933	gene26970	VPS72	NW_020656210.1
rna48934	gene26971	TMOD4	NW_020656210.1
rna48935	gene26972	SCNM1	NW_020656210.1
rna48937	gene26973	LYSMD1	NW_020656210.1
rna48938	gene26974	TNFAIP8L2	NW_020656210.1
rna48940	gene26975	SEMA6C	NW_020656210.1
rna48943	gene26976	GABPB2	NW_020656210.1
rna48945	gene26978	MLLT11	NW_020656210.1
rna48947	gene26979	CDC42SE1	NW_020656210.1
rna4738	gene2698	FOXN2	NW_020656123.1
rna48950	gene26980	CUNH1orf56	NW_020656210.1
rna48951	gene26981	BNIPL	NW_020656210.1
rna48952	gene26982	PRUNE1	NW_020656210.1
rna48954	gene26983	MINDY1	NW_020656210.1
rna48956	gene26984	ANXA9	NW_020656210.1
rna48957	gene26985	CERS2	NW_020656210.1
rna48959	gene26986	SETDB1	NW_020656210.1
rna48966	gene26990	ARNT	NW_020656210.1
rna48973	gene26991	CTSK	NW_020656210.1
rna48976	gene26994	CTSS	NW_020656210.1
rna48978	gene26995	HORMAD1	NW_020656210.1
rna48981	gene26996	GOLPH3L	NW_020656210.1
rna48983	gene26997	ENSA	NW_020656210.1
rna48984	gene26998	MCL1	NW_020656210.1
rna48987	gene26999	ADAMTSL4	NW_020656210.1
rna4742	gene2700	FBXO11	NW_020656123.1
rna48988	gene27000	LOC113246178	NW_020656210.1
rna48989	gene27001	ECM1	NW_020656210.1
rna48991	gene27002	TARS2	NW_020656210.1
rna48996	gene27003	RPRD2	NW_020656210.1
rna48999	gene27004	PRPF3	NW_020656210.1
rna49004	gene27005	MRPS21	NW_020656210.1
rna49007	gene27007	CIART	NW_020656210.1
rna49011	gene27008	CUNH1orf54	NW_020656210.1
rna49016	gene27009	APH1A	NW_020656210.1
rna4743	gene2701	MSH6	NW_020656123.1
rna49017	gene27010	CA14	NW_020656210.1
rna49021	gene27013	ANP32E	NW_020656210.1
rna49025	gene27016	PLEKHO1	NW_020656210.1
rna49026	gene27017	VPS45	NW_020656210.1
rna49027	gene27018	OTUD7B	NW_020656210.1
rna49029	gene27019	MTMR11	NW_020656210.1
rna49030	gene27020	SF3B4	NW_020656210.1
rna49031	gene27021	SV2A	NW_020656210.1
rna49032	gene27022	BOLA1	NW_020656210.1
rna49033	gene27023	LOC113246223	NW_020656210.1
rna49034	gene27024	LOC113246143	NW_020656210.1
rna49035	gene27025	LOC113246100	NW_020656210.1
rna49036	gene27026	LOC113246101	NW_020656210.1
rna49037	gene27027	LOC113246106	NW_020656210.1
rna49038	gene27028	LOC113246148	NW_020656210.1
rna49039	gene27029	LOC113246147	NW_020656210.1
rna4744	gene2703	KCNK12	NW_020656123.1
rna49040	gene27030	LOC113246145	NW_020656210.1
rna49043	gene27033	LOC113246146	NW_020656210.1
rna4745	gene2704	MSH2	NW_020656123.1
rna49055	gene27046	LOC113246125	NW_020656210.1
rna49058	gene27048	GALNT18	NW_020656211.1
rna4747	gene2705	EPCAM	NW_020656123.1
rna49062	gene27052	USP47	NW_020656211.1
rna49065	gene27053	DKK3	NW_020656211.1
rna49068	gene27056	LOC113246261	NW_020656211.1
rna49076	gene27057	PARVA	NW_020656211.1
rna49083	gene27058	TEAD1	NW_020656211.1
rna4748	gene2706	CALM2	NW_020656123.1
rna49093	gene27060	RASSF10	NW_020656211.1
rna49095	gene27062	ARNTL	NW_020656211.1
rna49100	gene27063	BTBD10	NW_020656211.1
rna49106	gene27066	PTH	NW_020656211.1
rna49107	gene27067	FAR1	NW_020656211.1
rna49109	gene27068	SPON1	NW_020656211.1
rna49113	gene27069	RRAS2	NW_020656211.1
rna4749	gene2707	STPG4	NW_020656123.1
rna49115	gene27070	COPB1	NW_020656211.1
rna49117	gene27071	PSMA1	NW_020656211.1
rna49120	gene27073	PDE3B	NW_020656211.1
rna49125	gene27074	LOC113246269	NW_020656211.1
rna49126	gene27075	LOC113246312	NW_020656212.1
rna49128	gene27076	LOC113246294	NW_020656212.1
rna49129	gene27077	LOC113246286	NW_020656212.1
rna49131	gene27079	LOC113246276	NW_020656212.1
rna4750	gene2708	TTC7A	NW_020656123.1
rna49135	gene27080	LOC113246296	NW_020656212.1
rna49138	gene27081	LOC113246295	NW_020656212.1
rna49139	gene27082	LOC113246291	NW_020656212.1
rna49142	gene27084	LOC113246310	NW_020656212.1
rna49144	gene27085	LOC113246311	NW_020656212.1
rna49147	gene27086	LOC113246307	NW_020656212.1
rna49148	gene27087	LOC113246309	NW_020656212.1
rna49152	gene27088	LOC113246308	NW_020656212.1
rna49155	gene27089	LOC113246297	NW_020656212.1
rna49160	gene27091	LOC113246277	NW_020656212.1
rna49161	gene27092	LOC113246313	NW_020656212.1
rna49168	gene27094	LOC113246280	NW_020656212.1
rna49169	gene27095	LOC113246281	NW_020656212.1
rna49171	gene27097	LOC113246290	NW_020656212.1
rna49172	gene27098	LOC113246289	NW_020656212.1
rna49173	gene27099	LOC113246288	NW_020656212.1
rna49175	gene27100	LOC113246287	NW_020656212.1
rna49177	gene27101	LOC113246305	NW_020656212.1
rna49182	gene27102	LOC113246298	NW_020656212.1
rna4764	gene2711	MCFD2	NW_020656123.1
rna49200	gene27110	LOC113246304	NW_020656212.1
rna49204	gene27111	LOC113246354	NW_020656213.1
rna49205	gene27112	LOC113246337	NW_020656213.1
rna49206	gene27113	LOC113246324	NW_020656213.1
rna49208	gene27115	LOC113246356	NW_020656213.1
rna49211	gene27116	LOC113246335	NW_020656213.1
rna49215	gene27117	LOC113246334	NW_020656213.1
rna49216	gene27118	LOC113246333	NW_020656213.1
rna49217	gene27121	LOC113246353	NW_020656213.1
rna49218	gene27122	LOC113246352	NW_020656213.1
rna49222	gene27123	LOC113246349	NW_020656213.1
rna49223	gene27124	LOC113246351	NW_020656213.1
rna49227	gene27125	LOC113246350	NW_020656213.1
rna49230	gene27126	LOC113246338	NW_020656213.1
rna49235	gene27128	LOC113246316	NW_020656213.1
rna49236	gene27129	LOC113246355	NW_020656213.1
rna49243	gene27131	LOC113246319	NW_020656213.1
rna49244	gene27132	LOC113246321	NW_020656213.1
rna49245	gene27133	LOC113246326	NW_020656213.1
rna49246	gene27134	LOC113246327	NW_020656213.1
rna49247	gene27135	LOC113246328	NW_020656213.1
rna49249	gene27137	LOC113246325	NW_020656213.1
rna49251	gene27138	LOC113246347	NW_020656213.1
rna49259	gene27139	LOC113246342	NW_020656213.1
rna49274	gene27149	LOC113246348	NW_020656213.1
rna49278	gene27150	LOC113246341	NW_020656213.1
rna49279	gene27151	LOC113246437	NW_020656214.1
rna49280	gene27152	LOC113246388	NW_020656214.1
rna49281	gene27153	LOC113246430	NW_020656214.1
rna49282	gene27154	LOC113246462	NW_020656214.1
rna49283	gene27155	LOC113246413	NW_020656214.1
rna49284	gene27156	LOC113246396	NW_020656214.1
rna49285	gene27158	LOC113246429	NW_020656214.1
rna49286	gene27159	LOC113246420	NW_020656214.1
rna4769	gene2716	SOCS5	NW_020656123.1
rna49287	gene27160	LOC113246428	NW_020656214.1
rna49288	gene27162	LOC113246460	NW_020656214.1
rna49290	gene27165	LOC113246464	NW_020656214.1
rna49291	gene27166	LOC113246465	NW_020656214.1
rna49292	gene27167	LOC113246536	NW_020656214.1
rna49293	gene27168	LOC113246524	NW_020656214.1
rna49294	gene27169	LOC113246444	NW_020656214.1
rna4774	gene2717	PIGF	NW_020656123.1
rna49295	gene27170	LOC113246466	NW_020656214.1
rna49296	gene27171	LOC113246440	NW_020656214.1
rna49297	gene27172	LOC113246383	NW_020656214.1
rna49298	gene27173	LOC113246426	NW_020656214.1
rna49299	gene27177	LOC113246452	NW_020656214.1
rna49300	gene27179	LOC113246434	NW_020656214.1
rna4776	gene2718	CRIPT	NW_020656123.1
rna49302	gene27180	LOC113246436	NW_020656214.1
rna49303	gene27181	LOC113246443	NW_020656214.1
rna49304	gene27182	LOC113246442	NW_020656214.1
rna49305	gene27183	LOC113246439	NW_020656214.1
rna49306	gene27184	LOC113246419	NW_020656214.1
rna49307	gene27185	LOC113246561	NW_020656214.1
rna49308	gene27186	LOC113246448	NW_020656214.1
rna49309	gene27187	LOC113246450	NW_020656214.1
rna49310	gene27188	LOC113246469	NW_020656214.1
rna49311	gene27189	LOC113246471	NW_020656214.1
rna4777	gene2719	RHOQ	NW_020656123.1
rna49312	gene27192	LOC113246474	NW_020656214.1
rna49313	gene27193	LOC113246361	NW_020656214.1
rna49314	gene27194	LOC113246362	NW_020656214.1
rna49315	gene27195	LOC113246398	NW_020656214.1
rna49318	gene27196	LOC113246520	NW_020656214.1
rna49319	gene27198	LOC113246476	NW_020656214.1
rna49320	gene27199	LOC113246433	NW_020656214.1
rna4778	gene2720	ATP6V1E2	NW_020656123.1
rna49321	gene27200	LOC113246447	NW_020656214.1
rna49322	gene27201	LOC113246404	NW_020656214.1
rna49323	gene27202	LOC113246405	NW_020656214.1
rna49324	gene27203	LOC113246477	NW_020656214.1
rna49325	gene27204	LOC113246451	NW_020656214.1
rna49326	gene27205	LOC113246458	NW_020656214.1
rna49327	gene27207	LOC113246461	NW_020656214.1
rna49328	gene27208	LOC113246528	NW_020656214.1
rna49329	gene27209	LOC113246427	NW_020656214.1
rna49330	gene27210	LOC113246480	NW_020656214.1
rna49331	gene27211	LOC113246445	NW_020656214.1
rna49332	gene27212	LOC113246481	NW_020656214.1
rna49333	gene27213	LOC113246482	NW_020656214.1
rna49334	gene27214	LOC113246453	NW_020656214.1
rna49335	gene27215	LOC113246454	NW_020656214.1
rna49336	gene27217	LOC113246483	NW_020656214.1
rna49337	gene27218	LOC113246438	NW_020656214.1
rna49338	gene27219	LOC113246484	NW_020656214.1
rna4779	gene2722	TMEM247	NW_020656123.1
rna49339	gene27220	LOC113246557	NW_020656214.1
rna49340	gene27221	LOC113246486	NW_020656214.1
rna49341	gene27223	LOC113246535	NW_020656214.1
rna49342	gene27224	LOC113246456	NW_020656214.1
rna49343	gene27225	LOC113246432	NW_020656214.1
rna49344	gene27226	LOC113246379	NW_020656214.1
rna49345	gene27227	LOC113246378	NW_020656214.1
rna49346	gene27228	LOC113246531	NW_020656214.1
rna49347	gene27229	LOC113246488	NW_020656214.1
rna4780	gene2723	EPAS1	NW_020656123.1
rna49348	gene27230	LOC113246533	NW_020656214.1
rna49349	gene27232	LOC113246522	NW_020656214.1
rna49350	gene27233	LOC113246532	NW_020656214.1
rna49351	gene27234	LOC113246490	NW_020656214.1
rna49352	gene27235	LOC113246525	NW_020656214.1
rna49353	gene27236	LOC113246491	NW_020656214.1
rna49354	gene27237	LOC113246492	NW_020656214.1
rna49355	gene27238	LOC113246543	NW_020656214.1
rna49356	gene27239	LOC113246542	NW_020656214.1
rna49357	gene27240	LOC113246493	NW_020656214.1
rna49358	gene27241	LOC113246552	NW_020656214.1
rna49359	gene27242	LOC113246371	NW_020656214.1
rna49360	gene27243	LOC113246370	NW_020656214.1
rna49361	gene27244	LOC113246367	NW_020656214.1
rna49362	gene27245	LOC113246366	NW_020656214.1
rna49363	gene27246	LOC113246368	NW_020656214.1
rna49364	gene27247	LOC113246494	NW_020656214.1
rna49365	gene27248	LOC113246495	NW_020656214.1
rna49366	gene27249	LOC113246497	NW_020656214.1
rna4782	gene2725	PRKCE	NW_020656123.1
rna49367	gene27250	LOC113246369	NW_020656214.1
rna49368	gene27251	LOC113246538	NW_020656214.1
rna49369	gene27252	LOC113246498	NW_020656214.1
rna49370	gene27253	LOC113246402	NW_020656214.1
rna49371	gene27254	LOC113246556	NW_020656214.1
rna49372	gene27255	LOC113246499	NW_020656214.1
rna49373	gene27256	LOC113246416	NW_020656214.1
rna49374	gene27257	LOC113246393	NW_020656214.1
rna49375	gene27258	LOC113246449	NW_020656214.1
rna49376	gene27259	LOC113246390	NW_020656214.1
rna49378	gene27260	LOC113246389	NW_020656214.1
rna49379	gene27261	LOC113246500	NW_020656214.1
rna49380	gene27262	LOC113246375	NW_020656214.1
rna49381	gene27263	LOC113246501	NW_020656214.1
rna49382	gene27264	LOC113246363	NW_020656214.1
rna49383	gene27265	LOC113246502	NW_020656214.1
rna49384	gene27266	LOC113246503	NW_020656214.1
rna49385	gene27267	LOC113246504	NW_020656214.1
rna49386	gene27268	LOC113246547	NW_020656214.1
rna49387	gene27269	LOC113246505	NW_020656214.1
rna4784	gene2727	SRBD1	NW_020656123.1
rna49388	gene27270	LOC113246541	NW_020656214.1
rna49389	gene27271	LOC113246381	NW_020656214.1
rna49390	gene27272	LOC113246526	NW_020656214.1
rna49391	gene27273	LOC113246506	NW_020656214.1
rna49392	gene27274	LOC113246507	NW_020656214.1
rna49393	gene27275	LOC113246527	NW_020656214.1
rna49394	gene27276	LOC113246521	NW_020656214.1
rna49395	gene27277	LOC113246530	NW_020656214.1
rna49396	gene27278	LOC113246523	NW_020656214.1
rna49397	gene27280	LOC113246415	NW_020656214.1
rna49398	gene27281	LOC113246508	NW_020656214.1
rna49399	gene27282	LOC113246509	NW_020656214.1
rna49400	gene27283	LOC113246510	NW_020656214.1
rna49403	gene27285	LRRC55	NW_020656214.1
rna49405	gene27287	APLNR	NW_020656214.1
rna49407	gene27288	TNKS1BP1	NW_020656214.1
rna49409	gene27289	SSRP1	NW_020656214.1
rna49411	gene27290	P2RX3	NW_020656214.1
rna49412	gene27291	PRG3	NW_020656214.1
rna49413	gene27292	PRG2	NW_020656214.1
rna49414	gene27293	SLC43A3	NW_020656214.1
rna49415	gene27294	RTN4RL2	NW_020656214.1
rna49416	gene27295	SLC43A1	NW_020656214.1
rna49419	gene27297	TIMM10	NW_020656214.1
rna49420	gene27298	SMTNL1	NW_020656214.1
rna49421	gene27299	UBE2L6	NW_020656214.1
rna4789	gene2730	SIX2	NW_020656123.1
rna49422	gene27300	SERPING1	NW_020656214.1
rna49424	gene27302	YPEL4	NW_020656214.1
rna49425	gene27303	CLP1	NW_020656214.1
rna49426	gene27304	ZDHHC5	NW_020656214.1
rna49428	gene27305	MED19	NW_020656214.1
rna49430	gene27306	TMX2	NW_020656214.1
rna49432	gene27307	SELENOH	NW_020656214.1
rna49433	gene27308	BTBD18	NW_020656214.1
rna49434	gene27309	CTNND1	NW_020656214.1
rna4790	gene2731	SIX3	NW_020656123.1
rna49440	gene27310	LOC113246424	NW_020656214.1
rna49441	gene27311	LOC113246446	NW_020656214.1
rna49442	gene27312	LOC113246558	NW_020656214.1
rna49443	gene27313	LOC113246539	NW_020656214.1
rna49444	gene27314	LOC113246544	NW_020656214.1
rna49445	gene27315	LOC113246394	NW_020656214.1
rna49446	gene27316	LOC113246512	NW_020656214.1
rna49447	gene27317	LOC113246403	NW_020656214.1
rna49448	gene27318	LOC113246421	NW_020656214.1
rna49449	gene27319	LOC113246414	NW_020656214.1
rna49450	gene27320	LOC113246422	NW_020656214.1
rna49451	gene27321	LOC113246423	NW_020656214.1
rna49452	gene27322	LOC113246513	NW_020656214.1
rna49453	gene27323	LOC113246519	NW_020656214.1
rna49454	gene27324	LOC113246417	NW_020656214.1
rna49455	gene27326	LPXN	NW_020656214.1
rna49458	gene27327	ZFP91	NW_020656214.1
rna49459	gene27328	CNTF	NW_020656214.1
rna49460	gene27329	GLYAT	NW_020656214.1
rna4792	gene2733	CAMKMT	NW_020656123.1
rna49467	gene27331	LOC113246550	NW_020656214.1
rna49469	gene27332	FAM111B	NW_020656214.1
rna49472	gene27333	FAM111A	NW_020656214.1
rna49474	gene27334	DTX4	NW_020656214.1
rna49475	gene27335	MPEG1	NW_020656214.1
rna49476	gene27336	LOC113246517	NW_020656214.1
rna49477	gene27337	LOC113246518	NW_020656214.1
rna49478	gene27338	LOC113246441	NW_020656214.1
rna49479	gene27339	LOC113246457	NW_020656214.1
rna4794	gene2734	PREPL	NW_020656123.1
rna49481	gene27343	LOC113246566	NW_020656215.1
rna49488	gene27349	LOC113246576	NW_020656216.1
rna4799	gene2735	SLC3A1	NW_020656123.1
rna49489	gene27350	NAP1L2	NW_020656216.1
rna49490	gene27351	CDX4	NW_020656216.1
rna49492	gene27353	CHIC1	NW_020656216.1
rna49515	gene27362	ZCCHC13	NW_020656216.1
rna49517	gene27366	SLC16A2	NW_020656216.1
rna49518	gene27367	RLIM	NW_020656216.1
rna49520	gene27368	NEXMIF	NW_020656216.1
rna49521	gene27369	LOC113246598	NW_020656216.1
rna49522	gene27370	ABCB7	NW_020656216.1
rna49525	gene27371	UPRT	NW_020656216.1
rna49527	gene27372	ZDHHC15	NW_020656216.1
rna49528	gene27373	MAGEE2	NW_020656216.1
rna49530	gene27374	PBDC1	NW_020656216.1
rna49531	gene27375	LOC113246589	NW_020656216.1
rna49532	gene27377	LOC113246604	NW_020656217.1
rna49534	gene27378	LOC113246625	NW_020656217.1
rna49535	gene27379	SAAL1	NW_020656217.1
rna4803	gene2738	PPM1B	NW_020656123.1
rna49536	gene27381	TPH1	NW_020656217.1
rna49537	gene27382	SERGEF	NW_020656217.1
rna49543	gene27385	KCNC1	NW_020656217.1
rna49545	gene27386	MYOD1	NW_020656217.1
rna49546	gene27387	OTOG	NW_020656217.1
rna49548	gene27388	USH1C	NW_020656217.1
rna49549	gene27389	ABCC8	NW_020656217.1
rna49551	gene27391	KCNJ11	NW_020656217.1
rna49552	gene27392	NCR3LG1	NW_020656217.1
rna49554	gene27394	NUCB2	NW_020656217.1
rna49563	gene27396	PIK3C2A	NW_020656217.1
rna49566	gene27397	RPS13	NW_020656217.1
rna49567	gene27399	PLEKHA7	NW_020656217.1
rna4810	gene2740	LRPPRC	NW_020656123.1
rna49580	gene27400	CUNH11orf58	NW_020656217.1
rna49590	gene27402	SOX6	NW_020656217.1
rna49598	gene27405	INSC	NW_020656217.1
rna49600	gene27407	CALCB	NW_020656217.1
rna49606	gene27413	CFAP126	NW_020656218.1
rna49607	gene27414	SDHC	NW_020656218.1
rna49608	gene27415	MPZ	NW_020656218.1
rna49609	gene27416	PCP4L1	NW_020656218.1
rna49610	gene27417	NR1I3	NW_020656218.1
rna49612	gene27418	TOMM40L	NW_020656218.1
rna49614	gene27419	APOA2	NW_020656218.1
rna4813	gene2742	ABCG8	NW_020656123.1
rna49615	gene27420	FCER1G	NW_020656218.1
rna49617	gene27421	NDUFS2	NW_020656218.1
rna49618	gene27422	ADAMTS4	NW_020656218.1
rna49619	gene27423	B4GALT3	NW_020656218.1
rna49623	gene27424	PPOX	NW_020656218.1
rna49630	gene27425	USP21	NW_020656218.1
rna49632	gene27426	UFC1	NW_020656218.1
rna49633	gene27427	DEDD	NW_020656218.1
rna49636	gene27428	NIT1	NW_020656218.1
rna49638	gene27429	PFDN2	NW_020656218.1
rna4814	gene2743	ABCG5	NW_020656123.1
rna49640	gene27430	KLHDC9	NW_020656218.1
rna49641	gene27431	NECTIN4	NW_020656218.1
rna49642	gene27432	ARHGAP30	NW_020656218.1
rna49645	gene27433	USF1	NW_020656218.1
rna49648	gene27434	TSTD1	NW_020656218.1
rna49650	gene27435	F11R	NW_020656218.1
rna49651	gene27436	CD244	NW_020656218.1
rna49652	gene27437	LY9	NW_020656218.1
rna49653	gene27438	LOC113246755	NW_020656218.1
rna49659	gene27439	SLAMF7	NW_020656218.1
rna4815	gene2744	DYNC2LI1	NW_020656123.1
rna49662	gene27441	CD48	NW_020656218.1
rna49663	gene27442	SLAMF1	NW_020656218.1
rna49665	gene27443	CD84	NW_020656218.1
rna49667	gene27444	SLAMF6	NW_020656218.1
rna49673	gene27446	VANGL2	NW_020656218.1
rna49674	gene27448	NHLH1	NW_020656218.1
rna49675	gene27449	NCSTN	NW_020656218.1
rna4823	gene2745	PLEKHH2	NW_020656123.1
rna49676	gene27450	COPA	NW_020656218.1
rna49679	gene27451	PEX19	NW_020656218.1
rna49680	gene27452	DCAF8	NW_020656218.1
rna49686	gene27454	PEA15	NW_020656218.1
rna49687	gene27455	CASQ1	NW_020656218.1
rna49689	gene27457	ATP1A4	NW_020656218.1
rna49690	gene27458	LOC113246737	NW_020656218.1
rna49691	gene27459	IGSF8	NW_020656218.1
rna49693	gene27460	KCNJ9	NW_020656218.1
rna49694	gene27461	KCNJ10	NW_020656218.1
rna49696	gene27462	PIGM	NW_020656218.1
rna49697	gene27463	LOC113246747	NW_020656218.1
rna49699	gene27464	SLAMF9	NW_020656218.1
rna49701	gene27465	IGSF9	NW_020656218.1
rna49704	gene27468	TAGLN2	NW_020656218.1
rna49706	gene27469	LOC113246742	NW_020656218.1
rna4827	gene2747	C1GALT1C1L	NW_020656123.1
rna49707	gene27470	CFAP45	NW_020656218.1
rna49709	gene27471	LOC113246650	NW_020656218.1
rna49712	gene27472	VSIG8	NW_020656218.1
rna49714	gene27473	SLAMF8	NW_020656218.1
rna49717	gene27475	FCRL6	NW_020656218.1
rna49718	gene27476	DUSP23	NW_020656218.1
rna49720	gene27478	CRP	NW_020656218.1
rna49721	gene27479	LOC113246731	NW_020656218.1
rna4828	gene2748	THADA	NW_020656123.1
rna49722	gene27480	APCS	NW_020656218.1
rna49723	gene27481	LOC113246730	NW_020656218.1
rna49724	gene27482	LOC113246656	NW_020656218.1
rna49725	gene27483	LOC113246732	NW_020656218.1
rna49726	gene27484	FCER1A	NW_020656218.1
rna49727	gene27485	LOC113246697	NW_020656218.1
rna49728	gene27486	ACKR1	NW_020656218.1
rna49729	gene27487	CADM3	NW_020656218.1
rna4832	gene2749	ZFP36L2	NW_020656123.1
rna49735	gene27490	LOC113246676	NW_020656218.1
rna49736	gene27491	LOC113246677	NW_020656218.1
rna49738	gene27493	LOC113246640	NW_020656218.1
rna49740	gene27494	LOC113246641	NW_020656218.1
rna49742	gene27495	LOC113246698	NW_020656218.1
rna49743	gene27496	LOC113246700	NW_020656218.1
rna49744	gene27497	LOC113246701	NW_020656218.1
rna49745	gene27498	LOC113246702	NW_020656218.1
rna49746	gene27499	LOC113246720	NW_020656218.1
rna49747	gene27500	LOC113246703	NW_020656218.1
rna49748	gene27501	SPTA1	NW_020656218.1
rna49749	gene27502	LOC113246753	NW_020656218.1
rna49750	gene27503	LOC113246704	NW_020656218.1
rna49751	gene27504	LOC113246693	NW_020656218.1
rna49753	gene27505	LOC113246723	NW_020656218.1
rna49754	gene27506	LOC113246705	NW_020656218.1
rna49755	gene27507	LOC113246706	NW_020656218.1
rna49756	gene27508	LOC113246690	NW_020656218.1
rna49757	gene27509	LOC113246707	NW_020656218.1
rna49758	gene27510	LOC113246660	NW_020656218.1
rna49760	gene27511	LOC113246662	NW_020656218.1
rna49762	gene27512	LOC113246651	NW_020656218.1
rna49764	gene27513	LOC113246754	NW_020656218.1
rna49766	gene27514	LOC113246694	NW_020656218.1
rna49767	gene27515	LOC113246708	NW_020656218.1
rna49770	gene27516	LOC113246636	NW_020656218.1
rna49772	gene27517	KIRREL1	NW_020656218.1
rna49776	gene27519	LOC113246667	NW_020656218.1
rna49779	gene27521	CD5L	NW_020656218.1
rna49780	gene27522	FCRL1	NW_020656218.1
rna49785	gene27523	LOC113246709	NW_020656218.1
rna49786	gene27524	FCRL3	NW_020656218.1
rna49788	gene27526	FCRL4	NW_020656218.1
rna49793	gene27527	FCRL5	NW_020656218.1
rna49796	gene27528	LOC113246711	NW_020656218.1
rna49797	gene27529	CST9L	NW_020656219.1
rna49798	gene27530	LOC113246775	NW_020656219.1
rna49799	gene27531	LOC113246780	NW_020656219.1
rna49800	gene27532	CST11	NW_020656219.1
rna49801	gene27533	CSTL1	NW_020656219.1
rna49802	gene27534	NAPB	NW_020656219.1
rna49804	gene27535	GZF1	NW_020656219.1
rna49806	gene27536	NXT1	NW_020656219.1
rna49811	gene27540	CD93	NW_020656219.1
rna49813	gene27542	THBD	NW_020656219.1
rna49814	gene27543	SSTR4	NW_020656219.1
rna49815	gene27544	FOXA2	NW_020656219.1
rna49819	gene27548	PAX1	NW_020656219.1
rna49821	gene27549	NKX2-2	NW_020656219.1
rna49822	gene27550	NKX2-4	NW_020656219.1
rna49823	gene27551	XRN2	NW_020656219.1
rna49825	gene27552	KIZ	NW_020656219.1
rna49831	gene27555	LOC113246789	NW_020656219.1
rna49836	gene27557	LOC113246783	NW_020656219.1
rna49840	gene27560	LOC113246795	NW_020656219.1
rna49841	gene27561	LOC113246787	NW_020656219.1
rna49842	gene27562	PNMA3	NW_020656220.1
rna49843	gene27563	ZNF185	NW_020656220.1
rna49855	gene27564	NSDHL	NW_020656220.1
rna49858	gene27565	CETN2	NW_020656220.1
rna49860	gene27566	LOC113246814	NW_020656220.1
rna49861	gene27568	GABRQ	NW_020656220.1
rna49862	gene27569	GABRA3	NW_020656220.1
rna49863	gene27570	GABRE	NW_020656220.1
rna49864	gene27573	CNGA2	NW_020656220.1
rna49865	gene27574	FATE1	NW_020656220.1
rna49866	gene27575	PRRG3	NW_020656220.1
rna49870	gene27576	PASD1	NW_020656220.1
rna49873	gene27580	VMA21	NW_020656220.1
rna49875	gene27582	GPR50	NW_020656220.1
rna49876	gene27584	HMGB3	NW_020656220.1
rna49878	gene27585	CD99L2	NW_020656220.1
rna49880	gene27586	MTMR1	NW_020656220.1
rna49885	gene27587	MTM1	NW_020656220.1
rna49888	gene27589	MAMLD1	NW_020656220.1
rna49894	gene27594	LOC113246855	NW_020656221.1
rna49899	gene27595	LOC113246857	NW_020656221.1
rna49900	gene27596	LOC113246842	NW_020656221.1
rna49901	gene27597	LOC113246853	NW_020656221.1
rna49902	gene27598	LOC113246839	NW_020656221.1
rna49903	gene27599	LOC113246858	NW_020656221.1
rna502	gene276	NCAM2	NW_020656121.1
rna4856	gene2760	HAAO	NW_020656123.1
rna49904	gene27601	LOC113246848	NW_020656221.1
rna49905	gene27602	LOC113246844	NW_020656221.1
rna49910	gene27605	LOC113246847	NW_020656221.1
rna49911	gene27606	LOC113246846	NW_020656221.1
rna49912	gene27607	LOC113246836	NW_020656221.1
rna4858	gene2761	OXER1	NW_020656123.1
rna49915	gene27613	LOC113246843	NW_020656221.1
rna49916	gene27614	LOC113246851	NW_020656221.1
rna49918	gene27616	LOC113246854	NW_020656221.1
rna49920	gene27617	LOC113246878	NW_020656222.1
rna49926	gene27618	LOC113246880	NW_020656222.1
rna49930	gene27619	LOC113246863	NW_020656222.1
rna4861	gene2762	KANSL3	NW_020656123.1
rna49931	gene27620	LOC113246876	NW_020656222.1
rna49932	gene27621	LOC113246864	NW_020656222.1
rna49933	gene27622	LOC113246881	NW_020656222.1
rna49934	gene27624	LOC113246873	NW_020656222.1
rna49936	gene27625	LOC113246870	NW_020656222.1
rna49939	gene27627	LOC113246872	NW_020656222.1
