hgnc_symbol	refseq_mrna	ensembl_gene_id
UBE2K	NM_005339	ENSG00000078140
HINT1	NM_005340	ENSG00000169567
HSPA5	NM_005347	ENSG00000044574
JUND	NM_005354	ENSG00000130522
SMAD4	NM_005359	ENSG00000141646
NCL	NM_005381	ENSG00000115053
NFIL3	NM_005384	ENSG00000165030
PCMT1	NM_005389	ENSG00000120265
RALA	NM_005402	ENSG00000006451
SKIL	NM_005414	ENSG00000136603
SLC20A1	NM_005415	ENSG00000144136
MLF2	NM_005439	ENSG00000089693
CNOT9	NM_005444	ENSG00000144580
WDR46	NM_005452	ENSG00000226916
WDR46	NM_005452	ENSG00000236222
WDR46	NM_005452	ENSG00000204221
WDR46	NM_005452	ENSG00000206284
WDR46	NM_005452	ENSG00000227057
ZRANB2	NM_005455	ENSG00000132485
MED6	NM_005466	ENSG00000133997
ACOT8	NM_005469	ENSG00000101473
ABI1	NM_005470	ENSG00000136754
GNPDA1	NM_005471	ENSG00000113552
GNE	NM_005476	ENSG00000159921
MED16	NM_005481	ENSG00000282092
MED16	NM_005481	ENSG00000175221
PIGK	NM_005482	ENSG00000142892
PARP3	NM_005485	ENSG00000041880
UBA2	NM_005499	ENSG00000126261
SAE1	NM_005500	ENSG00000142230
SCARB2	NM_005506	ENSG00000138760
HNRNPH1	NM_005520	ENSG00000284254
HNRNPH1	NM_005520	ENSG00000169045
DNAJC4	NM_005528	ENSG00000110011
IDH3A	NM_005530	ENSG00000166411
INPP5A	NM_005539	ENSG00000068383
KARS1	NM_005548	ENSG00000065427
LAMP1	NM_005561	ENSG00000185896
LDHA	NM_005566	ENSG00000288299
LDHA	NM_005566	ENSG00000134333
LMAN1	NM_005570	ENSG00000074695
MEF2A	NM_005587	ENSG00000068305
NIT1	NM_005600	ENSG00000158793
RBBP4	NM_005610	ENSG00000162521
REST	NM_005612	ENSG00000084093
SRSF4	NM_005626	ENSG00000116350
TAF11	NM_005643	ENSG00000064995
TAF12	NM_005644	ENSG00000120656
TAF13	NM_005645	ENSG00000197780
ELOC	NM_005648	ENSG00000154582
TCF20	NM_005650	ENSG00000262024
TCF20	NM_005650	ENSG00000276461
TCF20	NM_005650	ENSG00000280467
TCF20	NM_005650	ENSG00000283026
TCF20	NM_005650	ENSG00000282892
TCF20	NM_005650	ENSG00000281897
TCF20	NM_005650	ENSG00000283681
TCF20	NM_005650	ENSG00000100207
TERF2	NM_005652	ENSG00000132604
TFCP2	NM_005653	ENSG00000135457
UFD1	NM_005659	ENSG00000070010
SLC35A2	NM_005660	ENSG00000102100
VDAC3	NM_005662	ENSG00000078668
RNF103	NM_005667	ENSG00000239305
REEP5	NM_005669	ENSG00000129625
RBM10	NM_005676	ENSG00000182872
FARSB	NM_005687	ENSG00000116120
DNM1L	NM_005690	ENSG00000087470
ABCF2-H2BE1	NM_005692	ENSG00000285292
SCAMP2	NM_005697	ENSG00000140497
SCAMP3	NM_005698	ENSG00000263290
SCAMP3	NM_005698	ENSG00000116521
SNUPN	NM_005701	ENSG00000169371
ERAL1	NM_005702	ENSG00000132591
TSSC4	NM_005706	ENSG00000184281
PQBP1	NM_005710	ENSG00000102103
GIPC1	NM_005716	ENSG00000123159
TSFM	NM_005726	ENSG00000123297
PPIF	NM_005729	ENSG00000108179
CTDSP2	NM_005730	ENSG00000175215
ARPC2	NM_005731	ENSG00000163466
RAD50	NM_005732	ENSG00000113522
ACTR1B	NM_005735	ENSG00000115073
ACTR1A	NM_005736	ENSG00000138107
ARIH1	NM_005744	ENSG00000166233
BCAP31	NM_005745	ENSG00000185825
NAMPT	NM_005746	ENSG00000105835
YAF2	NM_005748	ENSG00000015153
TOB1	NM_005749	ENSG00000141232
AKAP9	NM_005751	ENSG00000127914
G3BP1	NM_005754	ENSG00000145907
CEBPZ	NM_005760	ENSG00000115816
TRIM28	NM_005762	ENSG00000130726
LPCAT3	NM_005768	ENSG00000111684
CNIH1	NM_005776	ENSG00000100528
RBM6	NM_005777	ENSG00000004534
RBM5	NM_005778	ENSG00000003756
ALYREF	NM_005782	ENSG00000183684
TXNDC9	NM_005783	ENSG00000115514
PSME3	NM_005789	ENSG00000131467
MPHOSPH10	NM_005791	ENSG00000124383
NME6	NM_005793	ENSG00000172113
NUTF2	NM_005796	ENSG00000102898
EIF1	NM_005801	ENSG00000173812
TOPORS	NM_005802	ENSG00000197579
FLOT1	NM_005803	ENSG00000223654
FLOT1	NM_005803	ENSG00000206480
FLOT1	NM_005803	ENSG00000232280
FLOT1	NM_005803	ENSG00000206379
FLOT1	NM_005803	ENSG00000230143
FLOT1	NM_005803	ENSG00000224740
FLOT1	NM_005803	ENSG00000137312
PSMD14	NM_005805	ENSG00000115233
PRDX2	NM_005809	ENSG00000167815
PLIN3	NM_005817	ENSG00000105355
HNRNPR	NM_005826	ENSG00000282958
HNRNPR	NM_005826	ENSG00000125944
SLC35B1	NM_005827	ENSG00000121073
DCAF7	NM_005828	ENSG00000136485
AP3S2	NM_005829	ENSG00000157823
MRPS31	NM_005830	ENSG00000102738
CALCOCO2	NM_005831	ENSG00000136436
RABEPK	NM_005833	ENSG00000136933
TIMM17B	NM_005834	ENSG00000126768
POP7	NM_005837	ENSG00000172336
SRRM1	NM_005839	ENSG00000133226
STAM2	NM_005843	ENSG00000115145
DENND4A	NM_005848	ENSG00000174485
SF3B4	NM_005850	ENSG00000143368
ZMPSTE24	NM_005857	ENSG00000084073
AKAP8	NM_005858	ENSG00000105127
PURA	NM_005859	ENSG00000185129
STUB1	NM_005861	ENSG00000103266
SIGMAR1	NM_005866	ENSG00000147955
SAP18	NM_005870	ENSG00000150459
SMNDC1	NM_005871	ENSG00000119953
BCAS2	NM_005872	ENSG00000116752
EIF1B	NM_005875	ENSG00000114784
SF3A1	NM_005877	ENSG00000099995
DNAJA2	NM_005880	ENSG00000069345
BCKDK	NM_005881	ENSG00000103507
MAEA	NM_005882	ENSG00000090316
MARCHF6	NM_005885	ENSG00000145495
GOLGA3	NM_005895	ENSG00000090615
CAPRIN1	NM_005898	ENSG00000135387
NBR1	NM_005899	ENSG00000188554
SMAD2	NM_005901	ENSG00000175387
SMAD5	NM_005903	ENSG00000113658
MCM7	NM_005916	ENSG00000166508
MFAP1	NM_005926	ENSG00000140259
MFAP3	NM_005927	ENSG00000037749
MIA2	NM_005930	ENSG00000150527
MLLT1	NM_005934	ENSG00000130382
MXI1	NM_005962	ENSG00000119950
HNRNPM	NM_005968	ENSG00000099783
NAP1L4	NM_005969	ENSG00000273562
NAP1L4	NM_005969	ENSG00000205531
PRCC	NM_005973	ENSG00000143294
RNF6	NM_005977	ENSG00000127870
TSPAN31	NM_005981	ENSG00000135452
TBCD	NM_005993	ENSG00000278759
TBCD	NM_005993	ENSG00000141556
VPS72	NM_005997	ENSG00000163159
CCT3	NM_005998	ENSG00000163468
TSNAX	NM_005999	ENSG00000116918
UCHL3	NM_006002	ENSG00000118939
ZFAND5	NM_006007	ENSG00000107372
CLPP	NM_006012	ENSG00000125656
LAGE3	NM_006014	ENSG00000196976
CD164	NM_006016	ENSG00000135535
ALKBH1	NM_006020	ENSG00000100601
CDC123	NM_006023	ENSG00000151465
TAX1BP1	NM_006024	ENSG00000106052
H1-10	NM_006026	ENSG00000184897
SPATA2	NM_006038	ENSG00000158480
HDAC6	NM_006044	ENSG00000094631
RBM12	NM_006047	ENSG00000244462
UBE4B	NM_006048	ENSG00000130939
SNAPC5	NM_006049	ENSG00000174446
VPS26C	NM_006052	ENSG00000157538
TNIP1	NM_006058	ENSG00000145901
AKR1A1	NM_006066	ENSG00000117448
EMC8	NM_006067	ENSG00000131148
TFG	NM_006070	ENSG00000114354
MICU1	NM_006077	ENSG00000107745
TUBA1B	NM_006082	ENSG00000123416
BPNT1	NM_006085	ENSG00000162813
LUC7L3	NM_006107	ENSG00000108848
PRMT5	NM_006109	ENSG00000100462
PPIE	NM_006112	ENSG00000084072
TOMM40	NM_006114	ENSG00000130204
TAB1	NM_006116	ENSG00000100324
ECI2	NM_006117	ENSG00000198721
HAX1	NM_006118	ENSG00000143575
MAN2A2	NM_006122	ENSG00000196547
TMEM50B	NM_006134	ENSG00000263160
TMEM50B	NM_006134	ENSG00000142188
CAPZA2	NM_006136	ENSG00000198898
NCK1	NM_006153	ENSG00000158092
NEDD8	NM_006156	ENSG00000285246
NEDD8	NM_006156	ENSG00000129559
NFE2L2	NM_006164	ENSG00000116044
NFYB	NM_006166	ENSG00000120837
NOP2	NM_006170	ENSG00000111641
NUCB1	NM_006184	ENSG00000104805
PA2G4	NM_006191	ENSG00000170515
PCBP1	NM_006196	ENSG00000169564
PCM1	NM_006197	ENSG00000078674
CDK16	NM_006201	ENSG00000102225
PIK3CB	NM_006219	ENSG00000051382
PIN1	NM_006221	ENSG00000127445
PITPNA	NM_006224	ENSG00000174238
POLD2	NM_006230	ENSG00000106628
POLR2H	NM_006232	ENSG00000163882
POLR2I	NM_006233	ENSG00000105258
POLR2J	NM_006234	ENSG00000005075
PPARD	NM_006238	ENSG00000112033
PPP2R5A	NM_006243	ENSG00000066027
PPP2R5B	NM_006244	ENSG00000068971
PPP2R5D	NM_006245	ENSG00000112640
PPP2R5E	NM_006246	ENSG00000154001
PPP5C	NM_006247	ENSG00000011485
PRKAA1	NM_006251	ENSG00000132356
PRKAB1	NM_006253	ENSG00000111725
DNAJC3	NM_006260	ENSG00000102580
PSME1	NM_006263	ENSG00000284916
PSME1	NM_006263	ENSG00000092010
RANBP2	NM_006267	ENSG00000153201
TAF10	NM_006284	ENSG00000166337
TSG101	NM_006292	ENSG00000074319
UQCRB	NM_006294	ENSG00000156467
VRK2	NM_006296	ENSG00000028116
MOGS	NM_006302	ENSG00000115275
ANP32A	NM_006305	ENSG00000140350
SMC1A	NM_006306	ENSG00000072501
NCOR1	NM_006311	ENSG00000141027
CDIPT	NM_006319	ENSG00000103502
PGRMC2	NM_006320	ENSG00000164040
ARIH2	NM_006321	ENSG00000177479
SEC24B	NM_006323	ENSG00000138802
RAN	NM_006325	ENSG00000132341
RBM14	NM_006328	ENSG00000239306
EMG1	NM_006331	ENSG00000126749
TIMM17A	NM_006335	ENSG00000134375
MCRS1	NM_006337	ENSG00000187778
HMG20B	NM_006339	ENSG00000064961
MAD2L2	NM_006341	ENSG00000116670
SLC30A9	NM_006345	ENSG00000014824
PPIH	NM_006347	ENSG00000171960
ZNHIT1	NM_006349	ENSG00000106400
TIMM44	NM_006351	ENSG00000104980
ZBTB18	NM_006352	ENSG00000179456
TADA3	NM_006354	ENSG00000171148
ATP5PD	NM_006356	ENSG00000167863
UBE2E3	NM_006357	ENSG00000170035
EIF3M	NM_006360	ENSG00000149100
NXF1	NM_006362	ENSG00000162231
SEC23A	NM_006364	ENSG00000100934
CREB3	NM_006368	ENSG00000107175
LRRC41	NM_006369	ENSG00000132128
VTI1B	NM_006370	ENSG00000100568
SYNCRIP	NM_006372	ENSG00000135316
CIB1	NM_006384	ENSG00000185043
DDX17	NM_006386	ENSG00000100201
CHERP	NM_006387	ENSG00000085872
KAT5	NM_006388	ENSG00000172977
HYOU1	NM_006389	ENSG00000280682
HYOU1	NM_006389	ENSG00000149428
IPO8	NM_006390	ENSG00000133704
IPO7	NM_006391	ENSG00000205339
NOP56	NM_006392	ENSG00000101361
ATG7	NM_006395	ENSG00000197548
ZNRD2	NM_006396	ENSG00000173465
DCTN2	NM_006400	ENSG00000175203
ANP32B	NM_006401	ENSG00000136938
LAMTOR5	NM_006402	ENSG00000134248
TM9SF1	NM_006405	ENSG00000285465
TM9SF1	NM_006405	ENSG00000100926
ARPC1A	NM_006409	ENSG00000241685
HTATIP2	NM_006410	ENSG00000109854
AGPAT1	NM_006411	ENSG00000236873
AGPAT1	NM_006411	ENSG00000226467
AGPAT1	NM_006411	ENSG00000206324
AGPAT1	NM_006411	ENSG00000227642
AGPAT1	NM_006411	ENSG00000235758
AGPAT1	NM_006411	ENSG00000228892
AGPAT1	NM_006411	ENSG00000204310
RPP30	NM_006413	ENSG00000148688
RPP38	NM_006414	ENSG00000152464
ARFGEF2	NM_006420	ENSG00000124198
SIVA1	NM_006427	ENSG00000184990
MRPL28	NM_006428	ENSG00000086504
CCT7	NM_006429	ENSG00000135624
CCT4	NM_006430	ENSG00000115484
NPC2	NM_006432	ENSG00000119655
DRAP1	NM_006442	ENSG00000175550
PRPF8	NM_006445	ENSG00000274442
PRPF8	NM_006445	ENSG00000174231
USP16	NM_006447	ENSG00000156256
PAIP1	NM_006451	ENSG00000172239
PAICS	NM_006452	ENSG00000128050
MXD4	NM_006454	ENSG00000123933
TRIM3	NM_006458	ENSG00000110171
HEXIM1	NM_006460	ENSG00000186834
RBCK1	NM_006462	ENSG00000125826
STAMBP	NM_006463	ENSG00000124356
TGOLN2	NM_006464	ENSG00000152291
POLR3C	NM_006468	ENSG00000186141
IVNS1ABP	NM_006469	ENSG00000116679
ATP5MG	NM_006476	ENSG00000167283
POLH	NM_006502	ENSG00000170734
PSMC4	NM_006503	ENSG00000281221
PSMC4	NM_006503	ENSG00000013275
TRIM27	NM_006510	ENSG00000234495
TRIM27	NM_006510	ENSG00000215641
TRIM27	NM_006510	ENSG00000229006
TRIM27	NM_006510	ENSG00000237462
TRIM27	NM_006510	ENSG00000237071
TRIM27	NM_006510	ENSG00000204713
RSC1A1	NM_006511	ENSG00000215695
SARS1	NM_006513	ENSG00000031698
DYNLT1	NM_006519	ENSG00000146425
TFE3	NM_006521	ENSG00000068323
GLRX3	NM_006541	ENSG00000108010
NPRL2	NM_006545	ENSG00000114388
MTX2	NM_006554	ENSG00000128654
YKT6	NM_006555	ENSG00000106636
PMVK	NM_006556	ENSG00000163344
KHDRBS1	NM_006559	ENSG00000121774
CELF1	NM_006560	ENSG00000149187
CTCF	NM_006565	ENSG00000102974
FARS2	NM_006567	ENSG00000145982
RRAGA	NM_006570	ENSG00000155876
DCTN6	NM_006571	ENSG00000104671
CCT8	NM_006585	ENSG00000156261
USP39	NM_006590	ENSG00000168883
AP4B1	NM_006594	ENSG00000134262
API5	NM_006595	ENSG00000166181
HSPA8	NM_006597	ENSG00000109971
NUDC	NM_006600	ENSG00000090273
PTGES3	NM_006601	ENSG00000110958
HBS1L	NM_006620	ENSG00000112339
ZMYND11	NM_006624	ENSG00000015171
SRSF10	NM_006625	ENSG00000188529
ZBTB6	NM_006626	ENSG00000186130
POP4	NM_006627	ENSG00000105171
VAMP5	NM_006634	ENSG00000168899
SDCCAG8	NM_006642	ENSG00000276111
SDCCAG8	NM_006642	ENSG00000054282
ENTR1	NM_006643	ENSG00000165689
UTP14A	NM_006649	ENSG00000156697
TUBGCP2	NM_006659	ENSG00000130640
CLPX	NM_006660	ENSG00000166855
USP19	NM_006677	ENSG00000172046
CPSF4	NM_006693	ENSG00000160917
JTB	NM_006694	ENSG00000143543
MAN1A2	NM_006699	ENSG00000198162
TXNL4A	NM_006701	ENSG00000141759
PNPLA6	NM_006702	ENSG00000032444
NUDT3	NM_006703	ENSG00000272325
SUGT1	NM_006704	ENSG00000165416
TCERG1	NM_006706	ENSG00000113649
GLO1	NM_006708	ENSG00000124767
COPS8	NM_006710	ENSG00000198612
FASTK	NM_006712	ENSG00000164896
SUB1	NM_006713	ENSG00000113387
MAN2C1	NM_006715	ENSG00000140400
PSKH1	NM_006742	ENSG00000159792
SURF6	NM_006753	ENSG00000281309
SURF6	NM_006753	ENSG00000148296
SYPL1	NM_006754	ENSG00000008282
TALDO1	NM_006755	ENSG00000177156
U2AF1	NM_006758	ENSG00000160201
UGP2	NM_006759	ENSG00000169764
YWHAE	NM_006761	ENSG00000274474
YWHAE	NM_006761	ENSG00000108953
LZTR1	NM_006767	ENSG00000099949
LMO4	NM_006769	ENSG00000143013
DDX18	NM_006773	ENSG00000088205
ZBTB33	NM_006777	ENSG00000177485
ZFPL1	NM_006782	ENSG00000162300
WDR3	NM_006784	ENSG00000065183
RALBP1	NM_006788	ENSG00000017797
PRDX3	NM_006793	ENSG00000165672
MSL3	NM_006800	ENSG00000005302
SF3A3	NM_006802	ENSG00000183431
STARD3	NM_006804	ENSG00000131748
HNRNPA0	NM_006805	ENSG00000177733
SEC61B	NM_006808	ENSG00000106803
SERINC3	NM_006811	ENSG00000132824
OS9	NM_006812	ENSG00000135506
PSMF1	NM_006814	ENSG00000125818
TMED2	NM_006815	ENSG00000086598
STIP1	NM_006819	ENSG00000168439
EBNA1BP2	NM_006824	ENSG00000117395
CKAP4	NM_006825	ENSG00000136026
TMED10	NM_006827	ENSG00000170348
ASCC3	NM_006828	ENSG00000112249
UQCR11	NM_006830	ENSG00000127540
CLP1	NM_006831	ENSG00000172409
COPS6	NM_006833	ENSG00000168090
COPS5	NM_006837	ENSG00000121022
METAP2	NM_006838	ENSG00000111142
IMMT	NM_006839	ENSG00000132305
SF3B2	NM_006842	ENSG00000087365
ILVBL	NM_006844	ENSG00000105135
SNRNP27	NM_006857	ENSG00000124380
TMED1	NM_006858	ENSG00000099203
LIAS	NM_006859	ENSG00000121897
IFT27	NM_006860	ENSG00000100360
ELF2	NM_006874	ENSG00000109381
CALM1	NM_006888	ENSG00000198668
EIF2D	NM_006893	ENSG00000143486
IDH3B	NM_006899	ENSG00000101365
RNF5	NM_006913	ENSG00000223767
RNF5	NM_006913	ENSG00000225452
RNF5	NM_006913	ENSG00000228907
RNF5	NM_006913	ENSG00000227277
RNF5	NM_006913	ENSG00000183574
RNF5	NM_006913	ENSG00000228405
RNF5	NM_006913	ENSG00000204308
SDF2	NM_006923	ENSG00000132581
SRSF1	NM_006924	ENSG00000136450
ST3GAL2	NM_006927	ENSG00000157350
SKIV2L	NM_006929	ENSG00000223493
SKIV2L	NM_006929	ENSG00000206353
SKIV2L	NM_006929	ENSG00000232616
SKIV2L	NM_006929	ENSG00000228896
SKIV2L	NM_006929	ENSG00000225737
SKIV2L	NM_006929	ENSG00000204351
SKP1	NM_006930	ENSG00000113558
SUMO3	NM_006936	ENSG00000184900
SNRPD1	NM_006938	ENSG00000167088
SRP72	NM_006947	ENSG00000174780
ZNF33A	NM_006954	ENSG00000189180
ZNF22	NM_006963	ENSG00000165512
ZNF24	NM_006965	ENSG00000172466
ZNF32	NM_006973	ENSG00000169740
ZBTB25	NM_006977	ENSG00000089775
RNF113A	NM_006978	ENSG00000125352
SLC39A7	NM_006979	ENSG00000229802
SLC39A7	NM_006979	ENSG00000206288
SLC39A7	NM_006979	ENSG00000227402
SLC39A7	NM_006979	ENSG00000226614
SLC39A7	NM_006979	ENSG00000224399
SLC39A7	NM_006979	ENSG00000112473
MAGED1	NM_006986	ENSG00000179222
ZNF197	NM_006991	ENSG00000281709
ZNF197	NM_006991	ENSG00000186448
TENT4A	NM_006999	ENSG00000112941
NUDT21	NM_007006	ENSG00000167005
CPSF6	NM_007007	ENSG00000111605
RTN4	NM_007008	ENSG00000115310
WWP1	NM_007013	ENSG00000123124
WWP2	NM_007014	ENSG00000198373
TMEM115	NM_007024	ENSG00000126062
DUSP14	NM_007026	ENSG00000275932
DUSP14	NM_007026	ENSG00000276023
RER1	NM_007033	ENSG00000157916
HNRNPUL1	NM_007040	ENSG00000105323
ATE1	NM_007041	ENSG00000107669
RPP14	NM_007042	ENSG00000163684
KRR1	NM_007043	ENSG00000111615
FAF1	NM_007051	ENSG00000185104
PWP1	NM_007062	ENSG00000136045
CDC37	NM_007065	ENSG00000105401
WDR45	NM_007075	ENSG00000196998
FICD	NM_007076	ENSG00000198855
LSM6	NM_007080	ENSG00000164167
NDUFV1	NM_007103	ENSG00000167792
RPL10A	NM_007104	ENSG00000198755
UBL3	NM_007106	ENSG00000122042
SSR3	NM_007107	ENSG00000114850
ELOB	NM_007108	ENSG00000103363
TFDP1	NM_007111	ENSG00000198176
TMF1	NM_007114	ENSG00000144747
NR1H2	NM_007121	ENSG00000131408
VCP	NM_007126	ENSG00000165280
ZNF41	NM_007130	ENSG00000147124
ZNF146	NM_007145	ENSG00000167635
ZNF195	NM_007152	ENSG00000005801
ZXDA	NM_007156	ENSG00000198205
ZXDB	NM_007157	ENSG00000198455
PICALM	NM_007166	ENSG00000073921
POMT1	NM_007171	ENSG00000130714
ERG28	NM_007176	ENSG00000133935
STRAP	NM_007178	ENSG00000023734
WBP4	NM_007187	ENSG00000120688
SEC23IP	NM_007190	ENSG00000107651
PLPBP	NM_007198	ENSG00000147471
MRPL3	NM_007208	ENSG00000114686
RPL35	NM_007209	ENSG00000136942
SEC63	NM_007214	ENSG00000025796
PMF1	NM_007221	ENSG00000160783
ZHX1	NM_007222	ENSG00000165156
PACSIN2	NM_007229	ENSG00000100266
DCTN3	NM_007234	ENSG00000137100
XPOT	NM_007235	ENSG00000184575
CHP1	NM_007236	ENSG00000187446
PXMP4	NM_007238	ENSG00000101417
SNF8	NM_007241	ENSG00000159210
DDX19B	NM_007242	ENSG00000157349
ATXN2L	NM_007245	ENSG00000168488
PNKP	NM_007254	ENSG00000039650
B4GALT7	NM_007255	ENSG00000027847
PARK7	NM_007262	ENSG00000116288
COPE	NM_007263	ENSG00000105669
ECD	NM_007265	ENSG00000122882
GPN1	NM_007266	ENSG00000198522
STXBP3	NM_007269	ENSG00000116266
TUSC2	NM_007275	ENSG00000114383
CBX3	NM_007276	ENSG00000122565
EXOC3	NM_007277	ENSG00000180104
GABARAP	NM_007278	ENSG00000170296
U2AF2	NM_007279	ENSG00000063244
RNF13	NM_007282	ENSG00000082996
GABARAPL2	NM_007285	ENSG00000034713
NUP42	NM_007342	ENSG00000136243
OGFR	NM_007346	ENSG00000060491
ATF6	NM_007348	ENSG00000118217
COG2	NM_007357	ENSG00000135775
CASC3	NM_007359	ENSG00000108349
NCBP2	NM_007362	ENSG00000114503
NONO	NM_007363	ENSG00000147140
RALY	NM_007367	ENSG00000125970
RFC5	NM_007370	ENSG00000111445
DDX42	NM_007372	ENSG00000198231
SHOC2	NM_007373	ENSG00000108061
TARDBP	NM_007375	ENSG00000120948
COMMD3	NM_012071	ENSG00000148444
CCT5	NM_012073	ENSG00000150753
ELL2	NM_012081	ENSG00000118985
GTF3C3	NM_012086	ENSG00000119041
GTF3C5	NM_012087	ENSG00000148308
PGLS	NM_012088	ENSG00000130313
ABCB10	NM_012089	ENSG00000135776
PRDX5	NM_012094	ENSG00000126432
AP3M1	NM_012095	ENSG00000185009
ARL5A	NM_012097	ENSG00000162980
AHSA1	NM_012111	ENSG00000100591
CBX5	NM_012117	ENSG00000094916
MTO1	NM_012123	ENSG00000135297
FAM50B	NM_012135	ENSG00000145945
AATF	NM_012138	ENSG00000276072
AATF	NM_012138	ENSG00000275700
SERGEF	NM_012139	ENSG00000129158
CCNDBP1	NM_012142	ENSG00000166946
TFIP11	NM_012143	ENSG00000100109
FBXL3	NM_012158	ENSG00000005812
FBXL4	NM_012160	ENSG00000112234
FBXL5	NM_012161	ENSG00000118564
FBXL6	NM_012162	ENSG00000285442
FBXL6	NM_012162	ENSG00000182325
FBXW2	NM_012164	ENSG00000119402
FBXO22	NM_012170	ENSG00000167196
TSPAN17	NM_012171	ENSG00000048140
FBXO3	NM_012175	ENSG00000110429
FBXO7	NM_012179	ENSG00000100225
FKBP8	NM_012181	ENSG00000105701
TIMM10B	NM_012192	ENSG00000132286
GLG1	NM_012201	ENSG00000090863
GRHPR	NM_012203	ENSG00000137106
HARS2	NM_012208	ENSG00000112855
NUBP2	NM_012225	ENSG00000095906
MSRB2	NM_012228	ENSG00000148450
RAB3GAP1	NM_012233	ENSG00000115839
SCAP	NM_012235	ENSG00000114650
SIRT2	NM_012237	ENSG00000283100
SIRT2	NM_012237	ENSG00000068903
SIRT3	NM_012239	ENSG00000142082
SIRT5	NM_012241	ENSG00000124523
SNW1	NM_012245	ENSG00000100603
SEPHS1	NM_012247	ENSG00000086475
HBP1	NM_012257	ENSG00000283847
HBP1	NM_012257	ENSG00000105856
HS2ST1	NM_012262	ENSG00000153936
RHBDD3	NM_012265	ENSG00000100263
HSPBP1	NM_012267	ENSG00000133265
PLD3	NM_012268	ENSG00000105223
FTSJ1	NM_012280	ENSG00000068438
MORF4L2	NM_012286	ENSG00000123562
TLK1	NM_012290	ENSG00000198586
FBXW11	NM_012300	ENSG00000072803
AP2A2	NM_012305	ENSG00000280759
AP2A2	NM_012305	ENSG00000281385
AP2A2	NM_012305	ENSG00000183020
KDM2A	NM_012308	ENSG00000173120
LETM1	NM_012318	ENSG00000168924
LSM4	NM_012321	ENSG00000130520
LSM5	NM_012322	ENSG00000106355
DNAJB9	NM_012328	ENSG00000128590
MSRA	NM_012331	ENSG00000285250
MSRA	NM_012331	ENSG00000175806
NARF	NM_012336	ENSG00000141562
GTPBP4	NM_012341	ENSG00000107937
NUP62	NM_012346	ENSG00000213024
TTC33	NM_012382	ENSG00000113638
BLOC1S6	NM_012388	ENSG00000104164
PEF1	NM_012392	ENSG00000162517
PFDN2	NM_012394	ENSG00000143256
PITPNB	NM_012399	ENSG00000180957
ARFIP2	NM_012402	ENSG00000132254
ANP32C	NM_012403	ENSG00000248546
ICMT	NM_012405	ENSG00000116237
PRDM4	NM_012406	ENSG00000110851
PICK1	NM_012407	ENSG00000100151
H2AZ2	NM_012412	ENSG00000105968
RAB3GAP2	NM_012414	ENSG00000118873
RANBP6	NM_012416	ENSG00000137040
SF3B3	NM_012426	ENSG00000189091
SETDB1	NM_012432	ENSG00000143379
SF3B1	NM_012433	ENSG00000115524
SNAPIN	NM_012437	ENSG00000143553
TIMM10	NM_012456	ENSG00000134809
TIMM13	NM_012458	ENSG00000099800
TIMM8B	NM_012459	ENSG00000150779
TIMM9	NM_012460	ENSG00000100575
TINF2	NM_012461	ENSG00000284915
TINF2	NM_012461	ENSG00000092330
ATP6V0A2	NM_012463	ENSG00000185344
PRPF6	NM_012469	ENSG00000101161
TNPO3	NM_012470	ENSG00000064419
TXN2	NM_012473	ENSG00000100348
UCK2	NM_012474	ENSG00000143179
WBP2	NM_012478	ENSG00000132471
ZNF281	NM_012482	ENSG00000162702
PDCD6	NM_013232	ENSG00000249915
EIF3K	NM_013234	ENSG00000282986
EIF3K	NM_013234	ENSG00000178982
DROSHA	NM_013235	ENSG00000113360
ATXN10	NM_013236	ENSG00000130638
VPS4A	NM_013245	ENSG00000132612
HTRA2	NM_013247	ENSG00000115317
NXT1	NM_013248	ENSG00000132661
TBK1	NM_013254	ENSG00000183735
MKLN1	NM_013255	ENSG00000128585
SAP30BP	NM_013260	ENSG00000161526
BRD7	NM_013263	ENSG00000166164
VPS51	NM_013265	ENSG00000149823
POLL	NM_013274	ENSG00000166169
MAT2B	NM_013283	ENSG00000038274
POLM	NM_013284	ENSG00000122678
GNL2	NM_013285	ENSG00000134697
RBM15B	NM_013286	ENSG00000259956
TRA2A	NM_013293	ENSG00000164548
CNOT4	NM_013316	ENSG00000080802
PRRC2B	NM_013318	ENSG00000288701
UBIAD1	NM_013319	ENSG00000120942
ATG4B	NM_013325	ENSG00000168397
RMC1	NM_013326	ENSG00000141452
PYCR2	NM_013328	ENSG00000143811
PAXBP1	NM_013329	ENSG00000263141
PAXBP1	NM_013329	ENSG00000159086
EPN1	NM_013333	ENSG00000063245
GMPPA	NM_013335	ENSG00000144591
SEC61A1	NM_013336	ENSG00000058262
TIMM22	NM_013337	ENSG00000278501
TIMM22	NM_013337	ENSG00000277649
TIMM22	NM_013337	ENSG00000177370
ALG5	NM_013338	ENSG00000120697
OLA1	NM_013341	ENSG00000138430
TFPT	NM_013342	ENSG00000275086
TFPT	NM_013342	ENSG00000273833
TFPT	NM_013342	ENSG00000276296
TFPT	NM_013342	ENSG00000276504
TFPT	NM_013342	ENSG00000276323
TFPT	NM_013342	ENSG00000276263
TFPT	NM_013342	ENSG00000276022
TFPT	NM_013342	ENSG00000274073
TFPT	NM_013342	ENSG00000278161
